TIME,GEO,UNIT,PURPOSE,DURATION,PARTNER,Value,Flag and Footnotes
2010,Sweden,Number,Personal reasons,4 nights or over,Europe,:,
2010,Sweden,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,"Professional, business",1 night or over,Europe,:,
2010,Sweden,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2010,Sweden,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,"Professional, business",4 nights or over,Europe,:,
2010,Sweden,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,Visits to friends and relatives,1 night or over,Europe,:,
2010,Sweden,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2010,Sweden,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Sweden,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2010,Sweden,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Total,1 night or over,Europe,:,
2010,United Kingdom,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Total,From 1 to 3 nights,Europe,:,
2010,United Kingdom,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Total,4 nights or over,Europe,:,
2010,United Kingdom,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Personal reasons,1 night or over,Europe,:,
2010,United Kingdom,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2010,United Kingdom,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Personal reasons,4 nights or over,Europe,:,
2010,United Kingdom,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,"Professional, business",1 night or over,Europe,:,
2010,United Kingdom,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2010,United Kingdom,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,"Professional, business",4 nights or over,Europe,:,
2010,United Kingdom,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Visits to friends and relatives,1 night or over,Europe,:,
2010,United Kingdom,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2010,United Kingdom,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,United Kingdom,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2010,United Kingdom,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Total,1 night or over,Europe,:,
2010,Norway,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Total,From 1 to 3 nights,Europe,:,
2010,Norway,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Total,4 nights or over,Europe,:,
2010,Norway,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Personal reasons,1 night or over,Europe,:,
2010,Norway,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2010,Norway,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Personal reasons,4 nights or over,Europe,:,
2010,Norway,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,"Professional, business",1 night or over,Europe,:,
2010,Norway,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2010,Norway,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,"Professional, business",4 nights or over,Europe,:,
2010,Norway,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Visits to friends and relatives,1 night or over,Europe,:,
2010,Norway,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2010,Norway,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Norway,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2010,Norway,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Total,1 night or over,Europe,:,
2010,Switzerland,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Total,From 1 to 3 nights,Europe,:,
2010,Switzerland,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Total,4 nights or over,Europe,:,
2010,Switzerland,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Personal reasons,1 night or over,Europe,:,
2010,Switzerland,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2010,Switzerland,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Personal reasons,4 nights or over,Europe,:,
2010,Switzerland,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,"Professional, business",1 night or over,Europe,:,
2010,Switzerland,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2010,Switzerland,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,"Professional, business",4 nights or over,Europe,:,
2010,Switzerland,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Visits to friends and relatives,1 night or over,Europe,:,
2010,Switzerland,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2010,Switzerland,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2010,Switzerland,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2010,Switzerland,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Total,1 night or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Total,From 1 to 3 nights,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Total,4 nights or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,1 night or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,From 1 to 3 nights,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,4 nights or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",1 night or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",From 1 to 3 nights,Europe,:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",4 nights or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,1 night or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,4 nights or over,Europe,:,
2011,European Union - 27 countries (from 2020),Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Total,1 night or over,Europe,:,
2011,Belgium,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Total,From 1 to 3 nights,Europe,:,
2011,Belgium,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Total,4 nights or over,Europe,:,
2011,Belgium,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Personal reasons,1 night or over,Europe,:,
2011,Belgium,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2011,Belgium,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Personal reasons,4 nights or over,Europe,:,
2011,Belgium,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,"Professional, business",1 night or over,Europe,:,
2011,Belgium,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2011,Belgium,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,"Professional, business",4 nights or over,Europe,:,
2011,Belgium,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Visits to friends and relatives,1 night or over,Europe,:,
2011,Belgium,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Visits to friends and relatives,From 1 to 3 nights,Europe,:,
2011,Belgium,Number,Visits to friends and relatives,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Belgium,Number,Visits to friends and relatives,4 nights or over,Europe,:,
2011,Belgium,Number,Visits to friends and relatives,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Total,1 night or over,Europe,:,
2011,Bulgaria,Number,Total,1 night or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Total,From 1 to 3 nights,Europe,:,
2011,Bulgaria,Number,Total,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Total,4 nights or over,Europe,:,
2011,Bulgaria,Number,Total,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Personal reasons,1 night or over,Europe,:,
2011,Bulgaria,Number,Personal reasons,1 night or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Personal reasons,From 1 to 3 nights,Europe,:,
2011,Bulgaria,Number,Personal reasons,From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Personal reasons,4 nights or over,Europe,:,
2011,Bulgaria,Number,Personal reasons,4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,"Professional, business",1 night or over,Europe,:,
2011,Bulgaria,Number,"Professional, business",1 night or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,"Professional, business",From 1 to 3 nights,Europe,:,
2011,Bulgaria,Number,"Professional, business",From 1 to 3 nights,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,"Professional, business",4 nights or over,Europe,:,
2011,Bulgaria,Number,"Professional, business",4 nights or over,European Union - 28 countries (2013-2020),:,
2011,Bulgaria,Number,Visits to friends and relatives,1 night or over,Europe,:,
2011,Bulgaria,Number,Visits to friends and relatives,1 night or over,European Union - 28 countries (2013-2020),:,
